name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,hand,wfactor
Rainer Schuettler,3.11585399182,180.0,26.8873405045,41.8240776947,1092.5593053,3.42862006549,3.01541131577,73.9708638149,43.268481566,29.8833400141,15.8070965956,11.5819463209,3.95819282946,6.81438758479,1,766.288903277
Paul Baccanello,0.0,183.0,24.108553264,194.790167034,104.377186092,8.43154242809,6.09843362428,92.6100204162,54.985985433,40.5188694051,19.4505613095,14.3164486673,4.10869225498,6.91807703209,1,13.5282842419
Oliver Marach,0.0,185.0,25.0202049764,151.291262769,313.66410283,4.07521728206,2.47995676249,74.9489080428,41.3931751795,27.9544514673,16.2202516763,11.1465188201,4.79620981008,8.03898591773,1,47.5901355808
Marat Safin,3.74138764834,193.0,22.7462521193,16.621434989,2221.91783002,8.43003030063,2.04646768239,78.6111947871,43.5647856929,32.9413693477,18.5544547848,12.4372049403,3.64381994525,5.72941672955,1,839.427639765
Carlos Taborga,0.0,0.0,20.8459958932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.246596963942
Dimitar Grabuloski,0.0,0.0,26.9726031904,745.265281442,6.01128957987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.3900049791
Felipe Rios,0.0,0.0,18.9103353867,1285.0,2.0,0.0,6.0,44.0,29.0,15.0,3.0,7.0,0.0,5.0,1,0.301194211912
Stephen Nugent,0.0,0.0,22.7368372547,1249.27926534,2.64565630623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.31055545072
Carlos Cuadrado,0.0,180.0,20.0974447502,413.289436378,85.795184461,1.49610379769,1.49166715426,65.9327237557,44.0104032786,29.1925975925,10.9633785603,10.6296630314,4.62966303139,7.73982675691,1,10.3668544228
Nour Nehme,0.0,0.0,17.6509240246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.135335283237
Peter Bertran,0.0,0.0,17.7642264163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.367195406216
Jacobo Chavez,0.0,0.0,30.2481541067,1178.60680962,2.48171278827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17.1761207155
Americo Venero Montes,0.0,0.0,28.0260095825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.43656365692
Konstantin Don Gruber,0.0,183.0,24.030943895,596.16112218,28.2990039839,2.25083001344,0.450166002688,22.9584661371,17.1063081021,9.45348605644,2.25083001344,3.6013280215,2.70099601613,4.50166002688,1,2.7132274558
Antso Rakotondramanga,0.0,0.0,25.7772514854,1126.81809809,0.870587120692,1.71592330868,0.373026806235,14.6972561657,9.10185407214,6.71448251223,3.13342517238,2.31276619866,0.223816083741,0.373026806235,2,1.21597096741
Favel Antonio Freyre Perdomo,0.0,0.0,19.5073886377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.56204285023
Fabrice Martin,0.0,0.0,29.0297819446,192.441899059,68.7292496641,7.202656043,3.25083001344,80.1578021263,47.3056440914,33.2541500672,16.0514940242,12.8006640108,2.25083001344,5.80066401075,1,0.246138441599
Filip Krajinovic,0.0,185.0,20.898590076,247.538301334,331.150276211,3.24052683472,1.93298216678,61.6717752782,38.0967443847,24.4393395758,11.3355777124,9.81899158046,3.60240947012,6.97821716017,1,9.11785843894
Thiago Monteiro,0.0,0.0,22.0898893413,167.70270344,443.500179713,2.96481618942,2.25312731964,74.3659100678,48.7888971365,32.3707973591,12.7824471618,11.9413603157,4.14718521704,7.24745868664,2,1.71259491858
Santiago Gonzalez,0.0,190.0,23.1097191393,315.802809856,148.296369416,0.700656693032,1.06737023291,17.8665904542,10.6829926162,7.20100135648,2.73732992087,2.75460400858,1.14194881669,2.24711610416,1,15.8735484821
Matwe Middelkoop,0.0,0.0,25.8792631806,270.670213714,207.53655647,3.4783494564,2.38394716874,42.9734236276,20.151900955,12.1195713313,11.4107613363,5.85291083677,1.9936619819,4.07316302504,1,1.10894375857
Vasek Pospisil,2.35758107169,193.0,23.5605274066,95.5585668011,795.563898095,8.60446333024,3.31261894902,73.8155012436,42.2046992632,32.0674355866,16.0718748804,11.5510473695,3.23647827705,5.24602718588,1,33.869857546
Matteo Donati,0.0,0.0,20.1971252567,282.0,172.0,7.0,1.5,72.5,45.0,31.5,11.5,11.0,5.0,8.0,1,0.270670566473
Andy Ram,0.0,180.0,23.1255190072,391.98650036,68.5734702044,4.39866858707,1.47952431429,47.4098710302,23.6162087596,17.2398907548,11.7911814481,7.38054912094,2.9510093161,4.8791003117,1,22.6999911358
Gvidas Sabeckis,0.0,0.0,25.1033538672,573.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.898657928234
Vasilly Kazhera,0.0,0.0,18.4640657084,1087.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.71828182846
Alex De Minaur,0.0,0.0,17.8984257358,323.8,149.6,3.4,3.8,85.2,51.6,33.6,16.0,12.8,5.6,9.6,1,0.453589766447
Jean Michel Durango,0.0,0.0,19.1156741957,763.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.34064009207
Elbert Sie,0.0,0.0,20.2500487885,877.08283185,13.8997235397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.43064923847
Daniel Yoo,0.0,0.0,18.8911704312,0.0,0.0,3.0,5.0,55.0,36.0,25.0,3.0,8.0,5.0,9.0,2,1.22140275816
Gd Jones,0.0,183.0,20.5871669481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.54509283652
